,description,coicop,"VAT Holiday",vat,"vat, min","vat, max",Notes
0,"Arroz para seco",1110101,0,0,0,0,
1,"Arroz para sopa",1110102,0,0,0,0,
2,"Arroz integral",1110103,0,0,0,0,
3,"Pastas o fideos para sopa: letras, conchitas, etc.",1110201,0,"0,05","0,05","0,05",
4,"Pastas para seco: espaguetis, raviolis, macarrones, tallarines, etc.",1110202,0,"0,05","0,05","0,05",
5,"Avena molida",1110301,0,"0,05","0,05","0,05",
6,"Avena en hojuelas",1110302,0,,"0,05","0,19",
7,"Cebada perlada",1110401,0,0,0,0,
8,"Cuchuco de cebada para preparar",1110402,0,0,0,0,
9,"Cuchuco de trigo para preparar",1110501,0,"0,05","0,05","0,05",
10,"Harina de trigo (incluye tempura)",1110502,0,"0,05","0,05","0,05",
11,"Salvado de trigo",1110503,0,"0,05","0,05","0,05",
12,"Ma�z blanco, amarillo, trillado, peto, porva, pira, millo para preparar",1110601,0,0,0,0,
13,"Cuchuco de ma�z para preparar",1110602,0,"0,19","0,19","0,19",
14,"Harina de ma�z",1110603,0,"0,05","0,05","0,05",
15,"Harina precocida de ma�z",1110604,0,"0,05","0,05","0,05",
16,"F�cula de ma�z para preparar",1110605,0,"0,19","0,19","0,19",
17,"Pan corriente, con queso,  ali�ado, mogolla, relleno, pan de coco, calado, tajado, �rabe., para consumo en el hogar
",1110801,0,0,0,0,
18,"Pan franc�s para consumo en el hogar",1110802,0,0,0,0,
19,"Pan integral para consumo en el hogar",1110803,0,0,0,0,
20,"Harina para preparar tortas, natilla, bu�uelos, etc.",1119801,0,"0,19","0,19","0,19",
21,"Harina para coladas ",1119802,0,"0,19","0,19","0,19",
22,"Almidones de papa o yuca",1119803,0,"0,19","0,19","0,19",
23,"Cereales para el desayuno",1119804,0,"0,19","0,19","0,19",
24,"Cereales para la alimentaci�n infantil (papilla)",1119805,0,"0,19","0,19","0,19",
25,"Ajonjol�, soya, quinua, sorgo (para preparar)",1119806,0,"0,19","0,19","0,19",
26,"Masas para la preparaci�n de productos de panader�a o pasteler�a  (trigo, ma�z, soya)",1119807,0,"0,19","0,19","0,19",
27,"Arepas crudas o precocidas  ",1119808,0,0,0,0,
28,"Bollos y envueltos precocidos, quiches, tamales",1119809,0,"0,19","0,19","0,19",
29,"G�rmen de trigo, lecitina, levadura, linaza ",1119810,0,"0,19","0,19","0,19",
30,"Comidas preparadas precocidas a base de cereales (lasagna, pizza, empanadas) ",1119811,0,"0,19","0,19","0,19",
31,"Carne vegetal, embutidos y otros alimentos vegetarianos (a base de soya, gl�ten, lenteja, quinua, etc.) sin cocinar",1119812,0,"0,19","0,19","0,19",
32,"Galletas de sal para consumo en el hogar",1119901,0,"0,19","0,19","0,19",
33,"Galletas de dulce (de panader�a y de paquete) para consumo en el hogar
",1119902,0,"0,19","0,19","0,19","goods with different tax rates. Tentative VAT presented."
34,"Galletas integrales (de panader�a y de paquete) para consumo en el hogar",1119903,0,"0,19","0,19","0,19","goods with different tax rates. Tentative VAT presented."
35,"Otros productos de panader�a no mencionados previamente: brownies, obleas, ponques, bizcochos (pudines en Costa Atl�ntica) para consumo en el hogar",1119999,0,0,0,0,
36,"Carne de res sin hueso o pulpa",1120101,0,0,0,0,
37,"Carne de res con hueso",1120102,0,0,0,0,
38,"Hueso de res",1120103,0,0,0,0,
39,"Carne molida de res",1120104,0,0,0,0,
40,"Lengua de res",1120105,0,0,0,0,
41,"H�gado, ri�ones, coraz�n, sesos, mondongo,  tripa y otras v�sceras de res",1120106,0,0,0,0,
42,"Patas, manos, cola  y cabeza de res",1120107,0,0,0,0,
43,"Carne de cerdo sin hueso o pulpa",1120201,0,0,0,0,
44,"Carne de cerdo con hueso",1120202,0,0,0,0,
45,"Carne molida de cerdo",1120203,0,0,0,0,
46,"Hueso de cerdo (espinazo y otros huesos)",1120204,0,0,0,0,
47,"Tocino y garra",1120205,0,0,0,0,
48,"H�gado, ri�ones, coraz�n, tripa y otras v�sceras de cerdo",1120206,0,0,0,0,
49,"Patas, manos, cola  y cabeza de cerdo",1120207,0,0,0,0,
50,"Gallina o pollo vivo",1120301,0,0,0,0,
51,"Carne de gallina o de pollo (entero o en presas)",1120302,0,0,0,0,
52,"Carne de Pavo, Pich�n, Zuro, Palomo, Pato  Ganso, codorniz",1120303,0,0,0,0,
53,"Menudencias de gallina o pollo",1120304,0,0,0,0,
54,"Conejo, liebre, Cur� o cuy para consumo en el hogar",1120401,0,0,0,0,
55,"Cordero, chivo, cabro para consumo en el hogar",1120402,0,0,0,0,
56,"Chig�iro para consumo en el hogar",1120403,0,0,0,0,
57,"Caballo para consumo en el hogar",1120404,0,0,0,0,
58,"Carne preparada de pavo, pollo,cerdo, lomo ahumado para consumo en el hogar
",1120501,0,0,0,0,
59,Mortadela,1120502,0,"0,05","0,05","0,05",
60,"Salchichas para consumo en el hogar",1120503,0,0,0,0,
61,"Jam�n y jamoneta para consumo en el hogar",1120504,0,0,0,0,
62,"Chorizo para consumo en el hogar",1120505,0,0,0,0,
63,Tocineta,1120506,0,0,0,0,
64,"Hamburguesa para consumo en el hogar",1120507,0,0,0,0,
65,"Carnes fr�as enlatadas",1120509,0,0,0,0,
66,"Otros embutidos de proteina animal (longaniza, butifarra, g�novas, salchich�n, salami, c�banos, pat�s, etc) para consumo en el hogar
",1120599,0,"0,05","0,05","0,05","goods with different tax rates. Tentative VAT presented."
67,"Otros alimentos no especificados: Hormigas culonas, etc. ",1129901,0,"0,19","0,19","0,19",
68,"Pescado de r�o fresco o congelado",1130101,0,0,0,0,
69,"Pescado de mar fresco o congelado",1130201,0,0,0,0,
70,"Camarones frescos o congelados",1130202,0,"0,19","0,19","0,19",
71,"Pescado y crust�ceos enlatados (sardinas, at�n, salm�n, mejillones, etc.)",1130203,0,0,0,0,
72,"Otros mariscos, crust�ceos y moluscos frescos o congelados",1130298,0,"0,19","0,19","0,19",
73,"Otros productos de pescado y derivados para consumo en el hogar",1130299,0,"0,19","0,19","0,19",
74,"Leche cruda para consumo en el hogar",1140101,0,0,0,0,
75,"Leche pasteurizada (entera, descremada, semidescremada, deslactosada y enriquecida) para consumo en el hogar",1140102,0,0,0,0,
76,"Leche larga vida (entera, descremada, semidescremada, deslactosada y enriquecida) para consumo en el hogar
",1140103,0,0,0,0,
77,"Leche en polvo (entera, descremada, semidescremada) para consumo en el hogar
",1140105,0,0,0,0,
78,"Queso campesino para consumo en el hogar",1140201,0,0,0,0,
79,"Queso doble crema para consumo en el hogar",1140202,0,"0,19","0,19","0,19",
80,"Cuajada, quesillo para consumo en el hogar",1140204,0,0,0,0,
81,"Otros quesos: pera, mozarella, paipa, parmesano, etc. para consumo en el hogar",1140299,0,"0,19","0,19","0,19",
82,"Huevos crudos de gallina y otras aves para consumo en el hogar",1140501,0,0,0,0,
83,"Huevos crudos de iguana y de tortuga para consumo en el hogar",1140502,0,"0,19","0,19","0,19",
84,"Leche condensada, leche condensada y evaporada y crema chantilly para consumo en el hogar",1149901,0,"0,19","0,19","0,19",
85,"Crema de leche",1149902,0,"0,19","0,19","0,19",
86,"Yogurt para consumo en el hogar",1149903,0,"0,19","0,19","0,19",
87,"Kumis para consumo en el hogar",1149904,0,"0,19","0,19","0,19",
88,"Suero coste�o, queso crema, crema agria",1149905,0,"0,19","0,19","0,19",
89,"Natas para consumo en el hogar",1149906,0,0,0,0,
90,"Postres l�cteos para consumo en el hogar",1149907,0,"0,19","0,19","0,19",
91,"Bebidas l�cteas saborizadas no achocolatadas (avena) para consumo en el hogar
",1149908,0,"0,19","0,19","0,19",
92,"Aceite de girasol, ma�z, soya y palma",1150101,0,"0,05","0,05","0,05",
93,"Aceite de oliva ",1150102,0,"0,19","0,19","0,19",
94,"Otros aceites comestibles: canola, cacahuete, coco, almendras, diet�ticos, etc.",1150199,0,"0,19","0,19","0,19",
95,"Mantequilla de vaca ",1150201,0,"0,19","0,19","0,19",
96,"Margarinas ",1150301,0,"0,19","0,19","0,19",
97,"Manteca vegetal",1159901,0,"0,19","0,19","0,19",
98,"Manteca de cerdo",1159902,0,"0,19","0,19","0,19",
99,"Otras grasas y aceites (aceite de pescado y otros animales marinos, mantequilla de man�)",1159999,0,"0,19","0,19","0,19",
100,Naranjas,1160101,0,0,0,0,
101,Limones,1160102,0,0,0,0,
102,Mandarinas,1160103,0,0,0,0,
103,Toronjas,1160104,0,0,0,0,
104,Limas,1160105,0,0,0,0,
105,Cidras,1160106,0,0,0,0,
106,Bananos,1160107,0,0,0,0,
107,Manzanas,1160108,0,0,0,0,
108,Peras,1160109,0,0,0,0,
109,Melones,1160110,0,0,0,0,
110,Mango,1160111,0,0,0,0,
111,Guayabas,1160112,0,0,0,0,
112,Guan�banas,1160113,0,0,0,0,
113,Zapotes,1160114,0,0,0,0,
114,Tamarindo,1160115,0,0,0,0,
115,"Tomate de �rbol",1160116,0,0,0,0,
116,Moras,1160117,0,0,0,0,
117,Curubas,1160118,0,0,0,0,
118,Maracuy�,1160119,0,0,0,0,
119,Lulos,1160120,0,0,0,0,
120,"Patilla o sand�a",1160121,0,0,0,0,
121,Granadillas,1160122,0,0,0,0,
122,Pi�a,1160123,0,0,0,0,
123,Papaya,1160124,0,0,0,0,
124,Papayuela,1160125,0,0,0,0,
125,"Uvas (verdes y rojas)",1160126,0,0,0,0,
126,Fresas,1160127,0,0,0,0,
127,Cocos,1160128,0,0,0,0,
128,Albaricoques,1160129,0,0,0,0,
129,Brevas,1160130,0,0,0,0,
130,Duraznos,1160131,0,0,0,0,
131,Chontaduros,1160132,0,0,0,0,
132,Ciruelas,1160133,0,0,0,0,
133,Aguacate,1160134,0,0,0,0,
134,Mangostino,1160135,0,0,0,0,
135,Kiwi,1160136,0,0,0,0,
136,Feijoa,1160137,0,0,0,0,
137,Higo,1160138,0,0,0,0,
138,Chirimoya,1160139,0,0,0,0,
139,"Otras frutas frescas ",1160199,0,0,0,0,
140,"Frutas congeladas o en pulpa",1160201,0,0,0,0,
